# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
000001	Xerox
000002	Xerox
000003	Xerox
000004	Xerox
000005	Xerox
000006	Xerox
000007	Xerox
000008	Xerox
000009	Xerox
00000A	Omron Tateisi
00000B	Matrix
00000C	Cisco
00000D	Fibronics
00000E	Fujitsu
00000F	Next
000010	Sytek
000011	Normerel Systemes
000012	Information
000013	Camex
000014	Netronix
000015	Datapoint
000016	Du Pont Pixel
000017	Oracle
000018	Webster Computer
000019	Applied Dynamics
00001A	Advanced Micro Devices
00001B	Novell
00001C	Bell
00001D	Cabletron
00001E	Telsist Industria Electr
00001F	Telco
000020	Dataindustrier Diab
000021	Sureman Comp. & Commun
000022	Visual
000023	Abb
000024	Connect
000025	Ramtek
000026	Sha-Ken
000027	Japan Radio
000028	Prodigy
000029	Imc
00002A	Trw - Sedd/Inp
00002B	Crisp Automation
00002C	Autotote
00002D	Chromatics
00002E	Societe Evira
00002F	Timeplex
000030	Vg Laboratory
000031	Qpsx
000032	Marconi
000033	Egan Machinery
000034	Network Resources
000035	Spectragraphics
000036	Atari
000037	Oxford Metrics
000038	Css Labs
000039	Toshiba
00003A	Chyron
00003B	i Controls
00003C	Auspex
00003D	Unisys
00003E	Simpact
00003F	Syntrex
000040	Applicon
000041	Ice
000042	Metier Management
000043	Micro
000044	Castelle
000045	Ford Aerospace & Comm
000046	Olivetti North
000047	Nicolet Instruments
000048	Seiko Epson
000049	Apricot Computers
00004A	Adc Codenoll
